short_name,name,lat,lon
7524.09,West End Ave & W 94 St,40.7941654,-73.974124
8745.01,Marble Hill Ave & W 225 St,40.87471,-73.91099
6398.08,E 35 St & Madison Ave,40.74848023448579,-73.98255586624146
2818.01,Ditmas Ave & McDonald Ave,40.63548,-73.97825
8262.07,W 171 St & St Nicholas Ave,40.842941,-73.938631
6361.03,9 St & 44 Rd,40.74966,-73.9521
5195.06,S 4 St & Roebling St,40.710709,-73.959724
5676.04,Calyer St & West St,40.72693,-73.95863
6113.07,51 Ave & Junction Blvd,40.74087,-73.86772
7365.13,E 95 St & 3 Ave,40.7849032,-73.950503
4371.01,Warren St & Smith St,40.685424009970184,-73.99127773940563
7910.10,Lenox Ave & W 146 St,40.821111,-73.935971
4560.01,Madison St & Evergreen Ave,40.69122,-73.91693
3731.11,14 St & 7 Ave,40.663779,-73.98396846
3480.04,Parkside Ave & Flatbush Ave,40.65563,-73.95968
4953.04,South St & Gouverneur Ln,40.70355377,-74.00670227
7141.07,Central Park W & W 72 St,40.77579376683666,-73.9762057363987
8152.03,Fulton Ave & St Paul's Pl,40.83545,-73.90153
4157.15,Prospect Pl & Vanderbilt Ave,40.67767534,-73.96902144
7883.06,Lafayette Ave & Hunts Point Ave,40.816567,-73.888161
7901.04,Morris Ave & E 153 St,40.820036,-73.921411
8428.05,Sedgwick Ave & W Tremont Ave,40.85304455868985,-73.91830623149872
7580.01,W 100 St & Broadway,40.7973721,-73.97041192
8353.02,Amsterdam Ave & W 180 St,40.847396,-73.931205
5962.04,56 Ave & 92 St,40.73649,-73.86995
4713.01,Central Ave & Himrod St,40.69676,-73.92302
7809.13,E 138 St & 5 Ave,40.81449,-73.936153
8717.07,E 201 St & Briggs Ave,40.87207,-73.88459
5553.03,E 3 St & 1 Ave,40.72467721,-73.98783413
8005.08,River Ave & E 153 St,40.82441,-73.92818
4028.03,3 St & 3 Ave,40.6750705,-73.98775226
7788.13,Southern Blvd & E 149 St,40.811892,-73.904192
8655.02,Dyckman St & Staff St,40.868846,-73.931537
6873.01,34 Ave & Vernon Blvd,40.76535380385866,-73.93986314535141
6854.05,W 50 St & 9 Ave,40.763604677958625,-73.98917958140373
8315.03,3 Ave & E Tremont Ave,40.84649,-73.89616
4190.06,Grand Ave & Bergen St,40.678045,-73.962408
6116.03,61 St & Queens Blvd,40.74091,-73.90273
8474.02,W 190 St & Broadway,40.85648733523576,-73.93296986818314
7032.06,Hazen St & 20 Ave,40.772092,-73.895166
8430.03,Arthur Ave & E 183 St,40.85307,-73.88953
8472.08,Webster Ave & Ford St,40.85556,-73.89615
3704.01,Washington Ave & Empire Blvd,40.66314,-73.9605695
4116.08,Prospect Pl & Underhill Ave,40.6769694,-73.96579
8190.03,E 171 St & Webster Ave,40.838379,-73.905838
3834.10,6 St & 7 Ave,40.6686627,-73.97988067
2698.07,68 St & 5 Ave,40.63416,-74.02058
5826.02,India St & Manhattan Ave,40.73232194,-73.9550858
6683.01,112 St & Northern Blvd,40.75788,-73.85763
3388.02,41 St & 3 Ave,40.652512,-74.008906
3905.15,3 St & 7 Ave,40.6703837,-73.97839676
7925.04,W 133 St & 12 Ave,40.820003,-73.959089
4025.02,Prospect Pl & Nostrand Ave,40.67428,-73.9503
3999.06,Park Pl & Buffalo Ave,40.67202,-73.92539
5712.12,E 5 St & Cooper Sq,40.72769,-73.990993
4628.07,Myrtle Ave & Fleet Pl,40.693534,-73.981909
6662.01,49 St & 31 Ave,40.758057,-73.909831
8179.03,Walton Ave & E 168 St,40.83649,-73.918316
8163.05,Southern Blvd & E 174 St,40.836733,-73.887931
7220.01,Steinway St & 19 Ave,40.778089,-73.899558
4137.10,Coffey St & Conover St,40.677236,-74.015665
3135.04,Chester Ave & 12 Ave,40.644367,-73.984276
6885.01,24 Ave & 87 St,40.7654,-73.88256
7735.05,5 Ave & W 131 St,40.81014,-73.93973
8325.08,Southern Blvd & E 180 St,40.84605,-73.88426
4962.08,Broad St & Bridge St,40.70365182,-74.01167797
5125.07,Broadway & Roebling St,40.70924826276157,-73.96063148975372
4129.10,Herkimer St & Eastern Pkwy,40.67738,-73.90829
7579.01,Pleasant Ave & E 120 St,40.7974772,-73.9311847
5430.10,6 Ave & Walker St,40.7197920901383,-74.0052238852195
7712.04,Alexander Ave & E 134 St,40.807466,-73.927107
4526.01,Grove St & Broadway,40.69047,-73.923511
4386.07,Carlton Ave & Greene Ave,40.685957,-73.971468
8756.07,Sedgwick Ave & W 231 St,40.87512,-73.90126
