month,is_weekend,hour_bucket,is_ebike,is_member,sampled_rows,pct_of_sample
5,true,midday,false,true,11235,0.2553
5,true,midday,true,false,8859,0.2013
5,true,midday,true,true,22986,0.5224
5,true,morning,false,false,1172,0.0266
5,true,morning,false,true,4749,0.1079
5,true,morning,true,false,2751,0.0625
5,true,morning,true,true,9521,0.2164
5,true,night,false,false,528,0.012
5,true,night,false,true,1336,0.0304
5,true,night,true,false,1685,0.0383
5,true,night,true,true,4285,0.0974
6,false,evening,false,false,7351,0.1671
6,false,evening,false,true,39847,0.9056
6,false,evening,true,false,24084,0.5474
6,false,evening,true,true,94597,2.15
6,false,midday,false,false,4009,0.0911
6,false,midday,false,true,20164,0.4583
6,false,midday,true,false,12472,0.2835
6,false,midday,true,true,46062,1.0469
6,false,morning,false,false,2188,0.0497
6,false,morning,false,true,22284,0.5065
6,false,morning,true,false,6840,0.1555
6,false,morning,true,true,45222,1.0278
6,false,night,false,false,579,0.0132
6,false,night,false,true,2307,0.0524
6,false,night,true,false,2452,0.0557
6,false,night,true,true,6783,0.1542
6,true,evening,false,false,3252,0.0739
6,true,evening,false,true,10501,0.2387
6,true,evening,true,false,10339,0.235
6,true,evening,true,true,27788,0.6316
6,true,midday,false,false,2874,0.0653
6,true,midday,false,true,9129,0.2075
6,true,midday,true,false,7318,0.1663
6,true,midday,true,true,20139,0.4577
6,true,morning,false,false,896,0.0204
6,true,morning,false,true,4196,0.0954
6,true,morning,true,false,2425,0.0551
6,true,morning,true,true,8650,0.1966
6,true,night,false,false,796,0.0181
6,true,night,false,true,1647,0.0374
6,true,night,true,false,2634,0.0599
6,true,night,true,true,5571,0.1266
7,false,evening,false,false,7954,0.1808
7,false,evening,false,true,40791,0.9271
7,false,evening,true,false,25850,0.5875
7,false,evening,true,true,97310,2.2116
7,false,midday,false,false,4399,0.1
7,false,midday,false,true,21089,0.4793
7,false,midday,true,false,13608,0.3093
7,false,midday,true,true,48285,1.0974
7,false,morning,false,false,2776,0.0631
7,false,morning,false,true,25443,0.5783
7,false,morning,true,false,8333,0.1894
7,false,morning,true,true,50606,1.1501
7,false,night,false,false,660,0.015
7,false,night,false,true,2422,0.055
7,false,night,true,false,2777,0.0631
7,false,night,true,true,7281,0.1655
7,true,evening,false,false,3969,0.0902
7,true,evening,false,true,10739,0.2441
7,true,evening,true,false,11606,0.2638
7,true,evening,true,true,27241,0.6191
7,true,midday,false,false,3449,0.0784
