log_duration,rideable_type,is_member,is_ebike,started_at,hour,is_weekend,is_rush_hour,month,is_holiday,origin_h3_r9,origin_h3_r8,origin_h3_r7,dest_h3_r9,dest_h3_r8,dest_h3_r7,od_pair_r9,od_pair_r8,od_encoded,euclidean_dist_m,manhattan_dist_m,dist_ratio,actual_temp,apparent_temp,precipitation_mm,is_raining,windspeed,snowfall,snow_depth,precip_last_3h,mins_since_rain
5.659245253888465,electric_bike,True,True,2026-01-07 16:53:51.432,16,False,False,1,False,892a1072537ffff,882a107253fffff,872a10725ffffff,892a100d247ffff,882a100d25fffff,872a100d2ffffff,892a1072537ffff_892a100d247ffff,882a107253fffff_882a100d25fffff,946374.0,1132.753894707684,1173.8726529291048,0.9649717044529325,8.6,4.666666666666667,0.0,False,14.6,0.0,0.0,0.0,1520.0
5.884691923784151,electric_bike,True,True,2026-01-06 17:42:23.101,17,False,True,1,False,892a100d647ffff,882a100d65fffff,872a100d6ffffff,892a100d2c3ffff,882a100d2dfffff,872a100d2ffffff,892a100d647ffff_892a100d2c3ffff,882a100d65fffff_882a100d2dfffff,350747.0,1462.3805545237808,1974.2237498883776,0.7407369881992675,2.766666666666667,-0.1999999999999999,0.0,False,6.033333333333334,0.0,0.0066666666666666,0.3999999999999999,580.0
5.956523662409355,electric_bike,True,True,2026-01-09 06:50:21.695,6,False,False,1,False,892a100d2d3ffff,882a100d2dfffff,872a100d2ffffff,892a100d2b3ffff,882a100d2bfffff,872a100d2ffffff,892a100d2d3ffff_892a100d2b3ffff,882a100d2dfffff_882a100d2bfffff,299739.0,1531.7938796164956,2166.204055071664,0.7071327726629243,0.3999999999999999,-2.6666666666666665,0.0,False,5.533333333333334,0.0,0.0,0.0,3800.0
5.897093426249757,electric_bike,True,True,2026-01-03 19:17:43.438,19,True,True,1,False,892a100d247ffff,882a100d25fffff,872a100d2ffffff,892a100d22bffff,882a100d23fffff,872a100d2ffffff,892a100d247ffff_892a100d22bffff,882a100d25fffff_882a100d23fffff,95873.0,850.0846299477272,1087.5724682527043,0.7816349298667652,-2.033333333333333,-5.866666666666667,0.0,False,3.3333333333333335,0.0,0.01,0.0,3540.0
8.063619921522136,classic_bike,True,False,2026-01-08 12:36:21.687,12,False,False,1,False,892a1008cb3ffff,882a1008cbfffff,872a1008cffffff,892a100a81bffff,882a100a8dfffff,872a100a8ffffff,892a1008cb3ffff_892a100a81bffff,882a1008cbfffff_882a100a8dfffff,969572.0,3709.453736218042,5244.305899080295,0.7073297796889723,7.333333333333333,4.8999999999999995,0.0,False,5.533333333333334,0.0,0.0,0.0,2720.0
5.590415921965571,electric_bike,True,True,2026-01-02 13:34:05.136,13,False,False,1,False,892a100d8a7ffff,882a100d8bfffff,872a100d8ffffff,892a100d897ffff,882a100d89fffff,872a100d8ffffff,892a100d8a7ffff_892a100d897ffff,882a100d8bfffff_882a100d89fffff,983527.0,1081.3369599099522,1265.9690135729386,0.8541575254342915,-2.6999999999999997,-7.966666666666666,0.0,False,13.666666666666666,0.0,0.01,0.0,1740.0
7.451728210053023,classic_bike,True,False,2026-01-13 10:30:13.096,10,False,False,1,False,892a1072807ffff,882a107281fffff,872a10728ffffff,892a100d2b3ffff,882a100d2bfffff,872a100d2ffffff,892a1072807ffff_892a100d2b3ffff,882a107281fffff_882a100d2bfffff,27017.0,5670.906950574625,7919.628494428352,0.7160571931580179,0.7000000000000001,-3.0,0.0,False,6.766666666666667,0.0,0.0,0.0,3380.0
5.596401400525766,electric_bike,True,True,2026-01-04 14:20:29.087,14,True,False,1,False,892a100d247ffff,882a100d25fffff,872a100d2ffffff,892a100d2c3ffff,882a100d2dfffff,872a100d2ffffff,892a100d247ffff_892a100d2c3ffff,882a100d25fffff_882a100d2dfffff,619413.0,939.3192443845222,1286.543853062772,0.7301105532845693,0.1666666666666666,-4.3999999999999995,0.0,False,10.1,0.0,0.01,0.0,4680.0
7.0235398746424185,classic_bike,True,False,2026-01-12 13:01:08.697,13,False,False,1,False,892a100d64bffff,882a100d65fffff,872a100d6ffffff,892a10089dbffff,882a10089dfffff,872a10088ffffff,892a100d64bffff_892a10089dbffff,882a100d65fffff_882a10089dfffff,704308.0,3637.5780049278064,4983.006281286874,0.7299966726087275,3.1,-1.6666666666666667,0.0,False,13.133333333333333,0.0,0.0,0.0,2120.0
5.8016227843141515,electric_bike,True,True,2026-01-06 08:32:33.899,8,False,True,1,False,892a100d357ffff,882a100d35fffff,872a100d3ffffff,892a100d22bffff,882a100d23fffff,872a100d2ffffff,892a100d357ffff_892a100d22bffff,882a100d35fffff_882a100d23fffff,379934.0,1425.912845692346,1984.1981612307627,0.7186342944738331,-2.3000000000000003,-5.233333333333333,0.0,False,2.2333333333333334,0.0,0.0066666666666666,0.0,1240.0
